gene,gene_upper,panel,source_lists,categories,source_evidence
CALHM1,CALHM1,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CALHM2,CALHM2,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CBARP,CBARP,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CHERP,CHERP,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CRACR2A,CRACR2A,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
CRACR2B,CRACR2B,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
ESYT1,ESYT1,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
ESYT2,ESYT2,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
ESYT3,ESYT3,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
MCOLN1,MCOLN1,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
MCOLN2,MCOLN2,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
MCOLN3,MCOLN3,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
ORAI1,ORAI1,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
ORAI2,ORAI2,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
ORAI3,ORAI3,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
PACS2,PACS2,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
PDZD8,PDZD8,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
PKD2,PKD2,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
PKD2L1,PKD2L1,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
PKD2L2,PKD2L2,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
SARAF,SARAF,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
STIM1,STIM1,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
STIM2,STIM2,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
STIMATE,STIMATE,Tier1_SOCE_TRP_51,Curated_258,SOCE_core,Curated_258:SOCE_core
TMEM165,TMEM165,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TMEM203,TMEM203,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TMEM64,TMEM64,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TMEM66,TMEM66,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TRPA1,TRPA1,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC1,TRPC1,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC3,TRPC3,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC4,TRPC4,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC5,TRPC5,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC6,TRPC6,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC7,TRPC7,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM1,TRPM1,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM2,TRPM2,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM3,TRPM3,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM4,TRPM4,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM5,TRPM5,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM6,TRPM6,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM7,TRPM7,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM8,TRPM8,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV1,TRPV1,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV2,TRPV2,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV3,TRPV3,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV4,TRPV4,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV5,TRPV5,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV6,TRPV6,Tier1_SOCE_TRP_51,Curated_258,TRP_channels,Curated_258:TRP_channels
VAPB,VAPB,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
WFS1,WFS1,Tier1_SOCE_TRP_51,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
